2022-04-24 09:09:08 INFO  [http-nio-8080-exec-10] : [wizard    ] - Delete: cancellata la directory 'sources' dal progetto wiki 
2022-04-24 09:13:53 INFO  [http-nio-8080-exec-4] : [spazio    ] 
2022-04-24 09:13:53 INFO  [http-nio-8080-exec-4] : [wizard    ] - Aggiornato il progetto esistente: 'wiki' 
2022-04-24 09:13:53 INFO  [http-nio-8080-exec-4] : [wizard    ] - Update: la directory 'config' esisteva già ma è stata integrata. (dirAddingOnly) 
2022-04-24 09:13:53 INFO  [http-nio-8080-exec-4] : [wizard    ] - Update: la directory 'doc' esisteva già ma è stata integrata. (dirAddingOnly) 
2022-04-24 09:13:53 INFO  [http-nio-8080-exec-4] : [wizard    ] - Update: la directory 'frontend' esisteva già ma è stata integrata. (dirAddingOnly) 
2022-04-24 09:13:53 INFO  [http-nio-8080-exec-4] : [wizard    ] - Update: la directory 'links' esisteva già ma è stata integrata. (dirAddingOnly) 
2022-04-24 09:13:53 INFO  [http-nio-8080-exec-4] : [wizard    ] - Update: la directory 'snippets' esisteva già ma è stata integrata. (dirAddingOnly) 
2022-04-24 09:13:53 INFO  [http-nio-8080-exec-4] : [wizard    ] - Update: la directory 'vaad23' esisteva già ma è stata sostituita. (dirDeletingAll) 
2022-04-24 09:13:53 INFO  [http-nio-8080-exec-4] : [wizard    ] - Update: il file 'WikiPref.java' esisteva già ma è stato modificato (sourceSovrascriveSempreAncheSeEsiste) 
2022-04-24 09:13:53 INFO  [http-nio-8080-exec-4] : [wizard    ] - Delete: cancellata la directory 'sources' dal progetto wiki 
2022-04-24 09:15:05 INFO  [http-nio-8080-exec-10] : [spazio    ] 
2022-04-24 09:15:05 INFO  [http-nio-8080-exec-10] : [wizard    ] - Aggiornato il progetto esistente: 'wiki' 
2022-04-24 09:15:05 INFO  [http-nio-8080-exec-10] : [wizard    ] - Update: la directory 'config' esisteva già ma è stata integrata. (dirAddingOnly) 
2022-04-24 09:15:05 INFO  [http-nio-8080-exec-10] : [wizard    ] - Update: la directory 'doc' esisteva già ma è stata integrata. (dirAddingOnly) 
2022-04-24 09:15:05 INFO  [http-nio-8080-exec-10] : [wizard    ] - Update: la directory 'frontend' esisteva già ma è stata integrata. (dirAddingOnly) 
2022-04-24 09:15:05 INFO  [http-nio-8080-exec-10] : [wizard    ] - Update: la directory 'links' esisteva già ma è stata integrata. (dirAddingOnly) 
2022-04-24 09:15:05 INFO  [http-nio-8080-exec-10] : [wizard    ] - Update: la directory 'snippets' esisteva già ma è stata integrata. (dirAddingOnly) 
2022-04-24 09:15:05 INFO  [http-nio-8080-exec-10] : [wizard    ] - Update: la directory 'vaad23' esisteva già ma è stata sostituita. (dirDeletingAll) 
2022-04-24 09:15:05 INFO  [http-nio-8080-exec-10] : [wizard    ] - Update: il file 'WikiPref.java' esisteva già ma è stato modificato (sourceSovrascriveSempreAncheSeEsiste) 
2022-04-24 09:15:05 INFO  [http-nio-8080-exec-10] : [wizard    ] - Delete: cancellata la directory 'sources' dal progetto wiki 
